Field_subtype,rpd,Source,all fileds,Sources,like_fields,
Ownerdetails,xx,imapp_foreclose,OwnerPostDirection,imapp_foreclose,Owner Address - Post Direction,
Ownerdetails,xx,imapp_foreclose,OwnerPreDirection,imapp_foreclose,Owner Address - Pre Direction,
Ownerdetails,xx,imapp_foreclose,OwnerStreetName,imapp_foreclose,Owner Address - Street Name,
Ownerdetails,xx,imapp_foreclose,OwnerStreetType,imapp_foreclose,Owner Address - Street Type,
Ownerdetails,xx,imapp_foreclose,OwnerUnitNumber,imapp_foreclose,Owner Address - Unit Number,
PropertyDetails,x,RPD,ParcelNumber,"imapp_tax,imapp_foreclose,Real_foreclose_pre_running,mls_x_o,imapp_X_C,Real_foreclose_sold","Parcel ID #,ParcelNumber,Parcel,Parcel ID,Folio Number,FOLIO",
PropertyDetails,xx,mls_x_o,Parking Total,"mls_x_o,imapp_X_C",#Parking Spaces,
PropertyDetails,x,RPD,ParkingFeatures,RPD,,
MLS_agentdetals,xx,mls_x_o,Pending Date,"mls_x_o,imapp_X_C",,
MLS_agentdetals,x,RPD,PetFeeDescription,RPD,,
MLS_agentdetals,x,RPD,PetRestrictions,RPD,,
MLS_agentdetals,x,RPD,PetsAllowed,RPD,,
MLS_agentdetals,x,RPD,PetSize,RPD,,
Ownerdetails,xx,fsboz,Fsbo Phone,fsboz,owner_number,
Ownerdetails,xx,kw_fsbo_X_C,Phone,kw_fsbo_X_C,Contact Phone,
Ownerdetails,xx,kw_fsbo_X_C,Phone DNC Status,kw_fsbo_X_C,Contact Phone DNC,
Ownerdetails,xx,kw_fsbo_X_C,Phone Label,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone Type,kw_fsbo_X_C,Contact Line Type,
Ownerdetails,xx,kw_fsbo_X_C,Phone 2,kw_fsbo_X_C,Augmented Phone 1_2,
Ownerdetails,xx,kw_fsbo_X_C,Phone 2 DNC Status,kw_fsbo_X_C,Augmented Phone 1_2 DNC,
Ownerdetails,xx,kw_fsbo_X_C,Phone 2 Label,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone 2 Type,kw_fsbo_X_C,Augmented Line Type 1_2,
